Time,Stadium,City,Team 1,Team 2,Won_Toss,Decision_Toss,Team 1 Runs Scored,Team 1 Wickets Lost,Team 1 Overs,Team 2 Runs Scored,Team 2 Wickets Lost,Team 2 Overs,Team 1 PP-1 Runs Scored,Team 1 PP-1 Wickets Lost,Team 1 PP-2 Runs Scored,Team 1 PP-2 Wickets Lost,Team 1 PP-3 Runs Scored,Team 1 PP-3 Wickets Lost,Team 2 PP-1 Runs Scored,Team 2 PP-1 Wickets Lost,Team 2 PP-2 Runs Scored,Team 2 PP-2 Wickets Lost,Team 2 PP-3 Runs Scored,Team 2 PP-3 Wickets Lost,MOM,Winner
DN,MA Chidambaram Stadium,Chennai,Bangladesh,New Zealand,New Zealand,field,245,9,50.0,248,2,42.5,46,2,143,5,56,2,37,1,184,1,27,0,Lockie Ferguson,New Zealand
DN,Narendra Modi Stadium,Ahmedabad,India,Pakistan,India,field,191,10,42.5,192,3,30.3,49,1,138,7,4,2,79,2,113,1,0,0,Jasprit Bumrah,India
DN,Arun Jaitley Stadium,Delhi,Afghanistan,England,England,field,284,10,49.5,215,10,40.3,79,0,137,6,68,4,52,2,161,7,2,1,Mujeeb Ur Rahman,Afghanistan
DN,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,Australia,Sri Lanka,Sri Lanka,bat,209,10,43.3,215,5,35.2,51,0,148,8,10,2,64,2,151,3,0,0,Adam Zampa,Australia
DN,Himachal Pradesh Cricket Association Stadium,Dharamsala,Netherlands,South Africa,South Africa,field,245,8,43.0,207,10,42.5,28,2,128,5,89,1,39,1,127,7,41,2,Scott Edwards,Netherlands
DN,MA Chidambaram Stadium,Chennai,Afghanistan,New Zealand,Afghanistan,field,288,6,50.0,139,10,34.4,43,1,142,3,103,2,28,2,111,8,0,0,Glenn Phillips,New Zealand
DN,Maharashtra Cricket Association Stadium,Pune,India,Bangladesh,Bangladesh,bat,256,8,50.0,261,3,41.3,63,0,126,5,67,3,63,0,186,3,12,0,Virat Kohli,India
DN,M.Chinnaswamy Stadium,Bengaluru,Australia,Pakistan,Pakistan,field,367,9,50.0,305,10,45.3,82,0,215,3,70,6,59,0,213,5,33,5,David Warner,Australia
D,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,Netherlands,Sri Lanka,Netherlands,bat,262,10,49.4,263,5,48.2,48,2,127,4,87,4,56,2,167,2,0,0,Sadeera Samarawickrama,Sri Lanka
DN,Wankhede Stadium,Mumbai,England,South Africa,England,field,399,7,50.0,170,10,22.0,59,1,197,4,143,2,67,4,103,5,0,0,Heinrich Klaasen,South Africa
